Fecha,Hora,Categoría,Central,MW
2025-08-27,21:43:29,Hidroeléctricas,Algarrobos,1.0
2025-08-27,21:43:29,Hidroeléctricas,Algarrobos,2.0
2025-08-27,21:43:29,Hidroeléctricas,Baitún,1.0
2025-08-27,21:43:29,Hidroeléctricas,Baitún,2.0
2025-08-27,21:43:29,Hidroeléctricas,Baitún,4.0
2025-08-27,21:43:29,Hidroeléctricas,Bajo Mina,1.0
2025-08-27,21:43:29,Hidroeléctricas,Bajo Mina,2.0
2025-08-27,21:43:29,Hidroeléctricas,Bajo Mina,3.0
2025-08-27,21:43:29,Hidroeléctricas,Barro Blanco,1.0
2025-08-27,21:43:29,Hidroeléctricas,Barro Blanco,2.0
2025-08-27,21:43:29,Hidroeléctricas,Barro Blanco,3.0
2025-08-27,21:43:29,Hidroeléctricas,Bayano,1.0
2025-08-27,21:43:29,Hidroeléctricas,Bayano,2.0
2025-08-27,21:43:29,Hidroeléctricas,Bayano,3.0
2025-08-27,21:43:29,Hidroeléctricas,Bonyic,1.0
2025-08-27,21:43:29,Hidroeléctricas,Bonyic,2.0
2025-08-27,21:43:29,Hidroeléctricas,Bonyic,3.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba I,1.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba I,2.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba I,3.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba II,1.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba II,2.0
2025-08-27,21:43:29,Hidroeléctricas,Bugaba II,3.0
2025-08-27,21:43:29,Hidroeléctricas,Changuinola,1.0
2025-08-27,21:43:29,Hidroeléctricas,Changuinola,2.0
2025-08-27,21:43:29,Hidroeléctricas,Changuinola,3.0
2025-08-27,21:43:29,Hidroeléctricas,Cochea,1.0
2025-08-27,21:43:29,Hidroeléctricas,Cochea,2.0
2025-08-27,21:43:29,Hidroeléctricas,Concepción,1.0
2025-08-27,21:43:29,Hidroeléctricas,Concepción,2.0
2025-08-27,21:43:29,Hidroeléctricas,Dolega,1.0
2025-08-27,21:43:29,Hidroeléctricas,Dolega,2.0
2025-08-27,21:43:29,Hidroeléctricas,Dolega,3.0
2025-08-27,21:43:29,Hidroeléctricas,El Alto,1.0
2025-08-27,21:43:29,Hidroeléctricas,El Alto,2.0
